name,year,quarter,prs_count,issues_count
Matlab,2015,1,165,458.0
SourcePawn,2015,1,159,266.0
Rich Text Format,2015,1,157,127.0
XQuery,2015,1,149,
Racket,2015,1,149,177.0
Pascal,2015,1,147,334.0
Processing,2015,1,145,100.0
Arduino,2015,1,143,170.0
SaltStack,2015,1,142,
Elm,2015,1,140,161.0
Batchfile,2015,1,137,
Raku,2015,1,137,
Perl 6,2015,1,134,106.0
Smarty,2015,1,134,107.0
Liquid,2015,1,127,
Groff,2015,1,126,
Hack,2015,1,113,178.0
CWeb,2015,1,107,
Objective-J,2015,1,106,205.0
JavaScript,2015,2,187618,252257.0
Python,2015,2,138537,124291.0
Java,2015,2,99768,107854.0
Ruby,2015,2,96362,53894.0
PHP,2015,2,79571,82429.0
C++,2015,2,44827,48149.0
Go,2015,2,41655,32800.0
HTML,2015,2,33482,29012.0
C#,2015,2,28183,37234.0
C,2015,2,26825,27949.0
Shell,2015,2,18703,16022.0
CSS,2015,2,18224,19800.0
Scala,2015,2,15854,11014.0
TypeScript,2015,2,14616,19885.0
Objective-C,2015,2,12864,17164.0
Rust,2015,2,8456,4919.0
CoffeeScript,2015,2,8071,16133.0
Swift,2015,2,7354,8403.0
Lua,2015,2,4152,4820.0
Clojure,2015,2,3800,3168.0
Perl,2015,2,3783,4061.0
Haskell,2015,2,3647,4316.0
Erlang,2015,2,3246,2358.0
DM,2015,2,3008,1886.0
Groovy,2015,2,2826,3500.0
Kotlin,2015,2,2540,4718.0
Nix,2015,2,2331,722.0
PowerShell,2015,2,2110,1429.0
Emacs Lisp,2015,2,2039,2853.0
Puppet,2015,2,1938,730.0
Dart,2015,2,1802,6293.0
Makefile,2015,2,1757,1267.0
Elixir,2015,2,1725,1260.0
YAML,2015,2,1710,
Jupyter Notebook,2015,2,1668,1358.0
R,2015,2,1600,2464.0
OCaml,2015,2,1497,1836.0
Julia,2015,2,1296,1342.0
Visual Basic,2015,2,975,604.0
F#,2015,2,965,1401.0
Thrift,2015,2,943,163.0
TeX,2015,2,926,1170.0
TSQL,2015,2,836,777.0
Dockerfile,2015,2,683,456.0
Fortran,2015,2,664,290.0
Vim script,2015,2,651,1202.0
Haxe,2015,2,587,758.0
PureScript,2015,2,584,479.0
Processing,2015,2,532,
JSON,2015,2,532,
XSLT,2015,2,500,588.0
CMake,2015,2,488,505.0
SCSS,2015,2,478,163.0
